#ZVView-data-copy::  19-Sep-2026 21:09:28
#=======================================
#
#name:   JENDL-4.0: NP-237(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  352
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  1.00e-11        2.18451e-12     0.00                        
  1.20e-11        2.39301e-12     0.00                        
  1.40e-11        2.58475e-12     0.00                        
  1.60e-11        2.76321e-12     0.00                        
  1.80e-11        2.93083e-12     0.00                        
  2.20e-11        3.24015e-12     0.00                        
  2.50e-11        3.45401e-12     0.00                        
  2.90e-11        3.72008e-12     0.00                        
  3.40e-11        4.02803e-12     3.59082e-13      #dY:8.9%   
  4.00e-11        4.36902e-12     3.8948e-13       #dY:8.9%   
  4.60e-11        4.68525e-12     4.1767e-13       #dY:8.9%   
  5.40e-11        5.07634e-12     4.52534e-13      #dY:8.9%   
  6.30e-11        5.48307e-12     4.88792e-13      #dY:8.9%   
  7.40e-11        5.9425e-12      5.29749e-13      #dY:8.9%   
  8.60e-11        6.40623e-12     5.71088e-13      #dY:8.9%   
  1.00e-10        6.90802e-12     7.1976e-13       #dY:10.4%  
  1.20e-10        7.56735e-12     7.88457e-13      #dY:10.4%  
  1.40e-10        8.17367e-12     8.51631e-13      #dY:10.4%  
  1.60e-10        8.73802e-12     9.10431e-13      #dY:10.4%  
  1.80e-10        9.26807e-12     9.65658e-13      #dY:10.4%  
  2.20e-10        1.02462e-11     1.06757e-12      #dY:10.4%  
  2.50e-10        1.09225e-11     1.13804e-12      #dY:10.4%  
  2.90e-10        1.17639e-11     1.2257e-12       #dY:10.4%  
  3.40e-10        1.27377e-11     1.31586e-12      #dY:10.3%  
  4.00e-10        1.3816e-11      1.42726e-12      #dY:10.3%  
  4.60e-10        1.4816e-11      1.53056e-12      #dY:10.3%  
  5.40e-10        1.60527e-11     1.65832e-12      #dY:10.3%  
  6.30e-10        1.73389e-11     1.79119e-12      #dY:10.3%  
  7.40e-10        1.87918e-11     1.94128e-12      #dY:10.3%  
  8.60e-10        2.02582e-11     2.09277e-12      #dY:10.3%  
  1.00e-9         2.1845e-11      2.25669e-12      #dY:10.3%  
  1.20e-9         2.393e-11       2.49329e-12      #dY:10.4%  
  1.40e-9         2.58473e-11     2.69306e-12      #dY:10.4%  
  1.60e-9         2.76319e-11     2.87899e-12      #dY:10.4%  
  1.80e-9         2.93081e-11     3.05364e-12      #dY:10.4%  
  2.20e-9         3.24012e-11     3.37591e-12      #dY:10.4%  
  2.50e-9         3.45398e-11     3.59874e-12      #dY:10.4%  
  2.90e-9         3.72005e-11     3.87596e-12      #dY:10.4%  
  3.40e-9         4.028e-11       4.16117e-12      #dY:10.3%  
  4.00e-9         4.36897e-11     4.51341e-12      #dY:10.3%  
  4.60e-9         4.68519e-11     4.84009e-12      #dY:10.3%  
  5.40e-9         5.07628e-11     5.24411e-12      #dY:10.3%  
