#ZVView-data-copy::  16-Sep-2026 17:15:19
#=======================================
#
#name:   JEFF-4.0: PU-239(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  642
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  1.00e-5         1.921473e-9     2.22009e-11      #dY:1.2%   
  1.10e-5         2.01526e-9      1.69031e-11      #dY:0.8%   
  1.20e-5         2.104867e-9     1.76547e-11      #dY:0.8%   
  1.30e-5         2.190819e-9     1.83756e-11      #dY:0.8%   
  1.40e-5         2.273519e-9     1.90693e-11      #dY:0.8%   
  1.50e-5         2.353318e-9     1.97386e-11      #dY:0.8%   
  1.60e-5         2.430496e-9     2.03859e-11      #dY:0.8%   
  1.70e-5         2.505293e-9     2.10133e-11      #dY:0.8%   
  1.80e-5         2.577926e-9     2.16225e-11      #dY:0.8%   
  1.90e-5         2.648568e-9     2.2215e-11       #dY:0.8%   
  2.00e-5         2.717374e-9     2.27921e-11      #dY:0.8%   
  2.10e-5         2.78448e-9      6.15838e-11      #dY:2.2%   
  2.20e-5         2.850006e-9     6.3033e-11       #dY:2.2%   
  2.30e-5         2.91406e-9      6.44497e-11      #dY:2.2%   
  2.40e-5         2.976736e-9     6.58359e-11      #dY:2.2%   
  2.50e-5         3.038117e-9     6.71934e-11      #dY:2.2%   
  2.60e-5         3.098285e-9     6.85242e-11      #dY:2.2%   
  2.70e-5         3.1573e-9       6.98294e-11      #dY:2.2%   
  2.80e-5         3.215241e-9     7.11109e-11      #dY:2.2%   
  2.90e-5         3.272153e-9     7.23696e-11      #dY:2.2%   
  3.00e-5         3.328086e-9     7.36066e-11      #dY:2.2%   
  3.10e-5         3.383101e-9     7.48234e-11      #dY:2.2%   
  3.20e-5         3.437235e-9     7.60207e-11      #dY:2.2%   
  3.30e-5         3.490529e-9     7.71993e-11      #dY:2.2%   
  3.40e-5         3.54302e-9      7.83603e-11      #dY:2.2%   
  3.50e-5         3.594749e-9     7.95044e-11      #dY:2.2%   
  3.60e-5         3.645739e-9     8.06321e-11      #dY:2.2%   
  3.70e-5         3.696026e-9     8.17443e-11      #dY:2.2%   
  3.80e-5         3.745643e-9     8.28417e-11      #dY:2.2%   
  3.90e-5         3.794601e-9     8.39244e-11      #dY:2.2%   
  4.00e-5         3.842945e-9     8.49937e-11      #dY:2.2%   
  4.10e-5         3.890685e-9     8.60432e-11      #dY:2.2%   
  4.20e-5         3.937848e-9     8.70862e-11      #dY:2.2%   
  4.30e-5         3.984448e-9     8.81168e-11      #dY:2.2%   
  4.40e-5         4.030514e-9     8.91355e-11      #dY:2.2%   
  4.50e-5         4.076059e-9     9.01427e-11      #dY:2.2%   
  4.60e-5         4.121098e-9     9.11388e-11      #dY:2.2%   
  4.70e-5         4.165653e-9     9.21241e-11      #dY:2.2%   
  4.80e-5         4.209735e-9     9.3099e-11       #dY:2.2%   
  4.90e-5         4.253361e-9     9.40638e-11      #dY:2.2%   
  5.00e-5         4.296544e-9     9.50188e-11      #dY:2.2%   
  5.10e-5         4.339298e-9     9.59643e-11      #dY:2.2%   
  5.20e-5         4.381634e-9     9.69006e-11      #dY:2.2%   
  5.30e-5         4.423565e-9     9.78279e-11      #dY:2.2%   
  5.40e-5         4.465096e-9     9.87464e-11      #dY:2.2%   
  5.50e-5         4.506255e-9     9.96566e-11      #dY:2.2%   
  5.60e-5         4.547036e-9     1.00558e-10      #dY:2.2%   
  5.70e-5         4.587448e-9     1.01452e-10      #dY:2.2%   
  5.80e-5         4.627517e-9     1.02338e-10      #dY:2.2%   
  5.90e-5         4.667241e-9     1.03217e-10      #dY:2.2%   
  6.00e-5         4.706627e-9     1.04088e-10      #dY:2.2%   
  6.10e-5         4.745687e-9     1.0495e-10       #dY:2.2%   
  6.20e-5         4.784428e-9     1.05807e-10      #dY:2.2%   
  6.30e-5         4.822861e-9     1.06657e-10      #dY:2.2%   
  6.40e-5         4.860982e-9     1.075e-10        #dY:2.2%   
  6.50e-5         4.898811e-9     1.08337e-10      #dY:2.2%   
  6.60e-5         4.936353e-9     1.09167e-10      #dY:2.2%   
  6.70e-5         4.973605e-9     1.09991e-10      #dY:2.2%   
