#ZVView-data-copy::  16-Sep-2026 17:11:29
#=======================================
#
#name:   INDEN-Aug2023: PU-239(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  642
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  1.00e-5         1.921473e-9     2.24392e-7       #dY:11678.1
  1.10e-5         2.01526e-9      2.35344e-7       #dY:11678.1
  1.20e-5         2.104867e-9     2.45809e-7       #dY:11678.1
  1.30e-5         2.190819e-9     2.55846e-7       #dY:11678.1
  1.40e-5         2.273519e-9     2.65504e-7       #dY:11678.1
  1.50e-5         2.353318e-9     2.74823e-7       #dY:11678.1
  1.60e-5         2.430496e-9     2.83836e-7       #dY:11678.1
  1.70e-5         2.505293e-9     2.92571e-7       #dY:11678.1
  1.80e-5         2.577926e-9     3.01053e-7       #dY:11678.1
  1.90e-5         2.648568e-9     3.09303e-7       #dY:11678.1
  2.00e-5         2.717374e-9     3.17338e-7       #dY:11678.1
  2.10e-5         2.78448e-9      3.25174e-7       #dY:11678.1
  2.20e-5         2.850006e-9     3.32827e-7       #dY:11678.1
  2.30e-5         2.91406e-9      3.40307e-7       #dY:11678.1
  2.40e-5         2.976736e-9     3.47626e-7       #dY:11678.1
  2.50e-5         3.038117e-9     3.54794e-7       #dY:11678.1
  2.60e-5         3.098285e-9     3.61821e-7       #dY:11678.1
  2.70e-5         3.1573e-9       3.68713e-7       #dY:11678.1
  2.80e-5         3.215241e-9     3.75479e-7       #dY:11678.1
  2.90e-5         3.272153e-9     3.82125e-7       #dY:11678.1
  3.00e-5         3.328086e-9     3.88657e-7       #dY:11678.1
  3.10e-5         3.383101e-9     3.95082e-7       #dY:11678.1
  3.20e-5         3.437235e-9     4.01404e-7       #dY:11678.1
  3.30e-5         3.490529e-9     4.07628e-7       #dY:11678.1
  3.40e-5         3.54302e-9      4.13758e-7       #dY:11678.1
  3.50e-5         3.594749e-9     4.19799e-7       #dY:11678.1
  3.60e-5         3.645739e-9     4.25753e-7       #dY:11678.1
  3.70e-5         3.696026e-9     4.31626e-7       #dY:11678.1
  3.80e-5         3.745643e-9     4.3742e-7        #dY:11678.1
  3.90e-5         3.794601e-9     4.43137e-7       #dY:11678.1
  4.00e-5         3.842945e-9     4.48783e-7       #dY:11678.1
  4.10e-5         3.890685e-9     4.54358e-7       #dY:11678.1
  4.20e-5         3.937848e-9     4.59866e-7       #dY:11678.1
  4.30e-5         3.984448e-9     4.65308e-7       #dY:11678.1
  4.40e-5         4.030514e-9     4.70688e-7       #dY:11678.1
  4.50e-5         4.076059e-9     4.76006e-7       #dY:11678.1
  4.60e-5         4.121098e-9     4.81266e-7       #dY:11678.1
  4.70e-5         4.165653e-9     4.86469e-7       #dY:11678.1
  4.80e-5         4.209735e-9     4.91617e-7       #dY:11678.1
  4.90e-5         4.253361e-9     4.96712e-7       #dY:11678.1
  5.00e-5         4.296544e-9     5.01755e-7       #dY:11678.1
  5.10e-5         4.339298e-9     5.06748e-7       #dY:11678.1
  5.20e-5         4.381634e-9     5.11692e-7       #dY:11678.1
  5.30e-5         4.423565e-9     5.16589e-7       #dY:11678.1
  5.40e-5         4.465096e-9     5.21439e-7       #dY:11678.1
  5.50e-5         4.506255e-9     5.26245e-7       #dY:11678.1
  5.60e-5         4.547036e-9     5.31008e-7       #dY:11678.1
  5.70e-5         4.587448e-9     5.35727e-7       #dY:11678.1
  5.80e-5         4.627517e-9     5.40406e-7       #dY:11678.1
  5.90e-5         4.667241e-9     5.45045e-7       #dY:11678.1
  6.00e-5         4.706627e-9     5.49645e-7       #dY:11678.1
  6.10e-5         4.745687e-9     5.54206e-7       #dY:11678.1
  6.20e-5         4.784428e-9     5.5873e-7        #dY:11678.1
  6.30e-5         4.822861e-9     5.63219e-7       #dY:11678.1
  6.40e-5         4.860982e-9     5.67671e-7       #dY:11678.1
  6.50e-5         4.898811e-9     5.72088e-7       #dY:11678.1
  6.60e-5         4.936353e-9     5.76472e-7       #dY:11678.1
  6.70e-5         4.973605e-9     5.80823e-7       #dY:11678.1
  6.80e-5         5.010589e-9     5.85142e-7       #dY:11678.1
  6.90e-5         5.047293e-9     5.89428e-7       #dY:11678.1
  7.00e-5         5.083735e-9     5.93684e-7       #dY:11678.1
  7.10e-5         5.119921e-9     5.9791e-7        #dY:11678.1
  7.20e-5         5.155848e-9     6.02105e-7       #dY:11678.1
  7.30e-5         5.191532e-9     6.06273e-7       #dY:11678.1
  7.40e-5         5.226969e-9     6.10411e-7       #dY:11678.1
  7.50e-5         5.262168e-9     6.14521e-7       #dY:11678.1
  7.60e-5         5.29713e-9      6.18604e-7       #dY:11678.1
  7.70e-5         5.331867e-9     6.22661e-7       #dY:11678.1
  7.80e-5         5.36638e-9      6.26691e-7       #dY:11678.1
  7.90e-5         5.400673e-9     6.30696e-7       #dY:11678.1
  8.00e-5         5.434744e-9     6.34675e-7       #dY:11678.1
  8.10e-5         5.468603e-9     6.38629e-7       #dY:11678.1
  8.20e-5         5.502256e-9     6.42559e-7       #dY:11678.1
  8.30e-5         5.535707e-9     6.46466e-7       #dY:11678.1
  8.40e-5         5.568953e-9     6.50348e-7       #dY:11678.1
  8.50e-5         5.602005e-9     6.54208e-7       #dY:11678.1
  8.60e-5         5.634863e-9     6.58045e-7       #dY:11678.1
  8.70e-5         5.667525e-9     6.61859e-7       #dY:11678.1
  8.80e-5         5.700003e-9     6.65652e-7       #dY:11678.1
  8.90e-5         5.732304e-9     6.69424e-7       #dY:11678.1
  9.00e-5         5.764414e-9     6.73174e-7       #dY:11678.1
  9.10e-5         5.796348e-9     6.76904e-7       #dY:11678.1
  9.20e-5         5.828112e-9     6.80613e-7       #dY:11678.1
  9.30e-5         5.859699e-9     6.84302e-7       #dY:11678.1
  9.40e-5         5.891117e-9     6.87971e-7       #dY:11678.1
  9.50e-5         5.922371e-9     6.91621e-7       #dY:11678.1
  9.60e-5         5.95346e-9      6.95251e-7       #dY:11678.1
  9.70e-5         5.98439e-9      6.98863e-7       #dY:11678.1
  9.80e-5         6.015155e-9     7.02456e-7       #dY:11678.1
  9.90e-5         6.045772e-9     7.06032e-7       #dY:11678.1
  1.00e-4         6.076229e-9     7.09588e-7       #dY:11678.1
  1.10e-4         6.3728e-9       7.44222e-7       #dY:11678.1
  1.20e-4         6.65617e-9      7.77314e-7       #dY:11678.1
  1.30e-4         6.927959e-9     8.09054e-7       #dY:11678.1
  1.40e-4         7.189483e-9     8.39595e-7       #dY:11678.1
  1.50e-4         7.441826e-9     8.69064e-7       #dY:11678.1
  1.60e-4         7.685883e-9     8.97565e-7       #dY:11678.1
  1.70e-4         7.922421e-9     9.25189e-7       #dY:11678.1
  1.80e-4         8.152105e-9     9.52011e-7       #dY:11678.1
  1.90e-4         8.37549e-9      9.78098e-7       #dY:11678.1
  2.00e-4         8.593072e-9     1.00351e-6       #dY:11678.1
  2.10e-4         8.805275e-9     1.02829e-6       #dY:11678.1
  2.20e-4         9.012488e-9     1.05249e-6       #dY:11678.1
  2.30e-4         9.215039e-9     1.07614e-6       #dY:11678.1
  2.40e-4         9.41322e-9      1.09929e-6       #dY:11678.1
  2.50e-4         9.607338e-9     1.12195e-6       #dY:11678.1
  2.60e-4         9.797592e-9     1.14417e-6       #dY:11678.1
  2.70e-4         9.984245e-9     1.16597e-6       #dY:11678.1
  2.80e-4         1.016745e-8     1.18737e-6       #dY:11678.1
  2.90e-4         1.034743e-8     1.20838e-6       #dY:11678.1
  3.00e-4         1.052432e-8     1.22904e-6       #dY:11678.1
  3.10e-4         1.069826e-8     1.24935e-6       #dY:11678.1
  3.20e-4         1.086945e-8     1.26935e-6       #dY:11678.1
  3.30e-4         1.103798e-8     1.28903e-6       #dY:11678.1
  3.40e-4         1.1204e-8       1.30841e-6       #dY:11678.1
  3.50e-4         1.136755e-8     1.32751e-6       #dY:11678.1
  3.60e-4         1.152879e-8     1.34634e-6       #dY:11678.1
  3.70e-4         1.168782e-8     1.36492e-6       #dY:11678.1
  3.80e-4         1.184469e-8     1.38324e-6       #dY:11678.1
  3.90e-4         1.19995e-8      1.40131e-6       #dY:11678.1
  4.00e-4         1.215245e-8     1.41918e-6       #dY:11678.1
  4.10e-4         1.230339e-8     1.4368e-6        #dY:11678.1
  4.20e-4         1.24525e-8      1.45422e-6       #dY:11678.1
  4.30e-4         1.259991e-8     1.47143e-6       #dY:11678.1
  4.40e-4         1.274555e-8     1.48844e-6       #dY:11678.1
  4.50e-4         1.288954e-8     1.50525e-6       #dY:11678.1
  4.60e-4         1.3032e-8       1.52189e-6       #dY:11678.1
  4.70e-4         1.317286e-8     1.53834e-6       #dY:11678.1
  4.80e-4         1.331225e-8     1.55462e-6       #dY:11678.1
  4.90e-4         1.345024e-8     1.57073e-6       #dY:11678.1
  5.00e-4         1.358681e-8     1.58668e-6       #dY:11678.1
  5.10e-4         1.372198e-8     1.60247e-6       #dY:11678.1
  5.20e-4         1.385583e-8     1.6181e-6        #dY:11678.1
  5.30e-4         1.398843e-8     1.63358e-6       #dY:11678.1
