#ZVView-data-copy::  19-Sep-2026 21:02:48
#=======================================
#
#name:   JENDL-4.0: TH-232(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  352
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  1.00e-11        2.26198e-12     0.00                        
  1.20e-11        2.47788e-12     0.00                        
  1.40e-11        2.67641e-12     0.00                        
  1.60e-11        2.86121e-12     0.00                        
  1.80e-11        3.03477e-12     0.00                        
  2.20e-11        3.35506e-12     0.00                        
  2.50e-11        3.57651e-12     0.00                        
  2.90e-11        3.85202e-12     0.00                        
  3.40e-11        4.17089e-12     2.26951e-13      #dY:5.4%   
  4.00e-11        4.52397e-12     2.46163e-13      #dY:5.4%   
  4.60e-11        4.85141e-12     2.6398e-13       #dY:5.4%   
  5.40e-11        5.25637e-12     2.86015e-13      #dY:5.4%   
  6.30e-11        5.67753e-12     3.08932e-13      #dY:5.4%   
  7.40e-11        6.15326e-12     3.34817e-13      #dY:5.4%   
  8.60e-11        6.63343e-12     3.60945e-13      #dY:5.4%   
  1.00e-10        7.15302e-12     4.54916e-13      #dY:6.4%   
  1.20e-10        7.83574e-12     4.98335e-13      #dY:6.4%   
  1.40e-10        8.46356e-12     5.38263e-13      #dY:6.4%   
  1.60e-10        9.04793e-12     5.75428e-13      #dY:6.4%   
  1.80e-10        9.59678e-12     6.10333e-13      #dY:6.4%   
  2.20e-10        1.06096e-11     6.74746e-13      #dY:6.4%   
  2.50e-10        1.13099e-11     7.19284e-13      #dY:6.4%   
  2.90e-10        1.21811e-11     7.7469e-13       #dY:6.4%   
  3.40e-10        1.31895e-11     8.31686e-13      #dY:6.3%   
  4.00e-10        1.4306e-11      9.02089e-13      #dY:6.3%   
  4.60e-10        1.53415e-11     9.67384e-13      #dY:6.3%   
  5.40e-10        1.66221e-11     1.04813e-12      #dY:6.3%   
  6.30e-10        1.79539e-11     1.13211e-12      #dY:6.3%   
  7.40e-10        1.94583e-11     1.22698e-12      #dY:6.3%   
  8.60e-10        2.09768e-11     1.32273e-12      #dY:6.3%   
  1.00e-9         2.26198e-11     1.42633e-12      #dY:6.3%   
  1.20e-9         2.47788e-11     1.57588e-12      #dY:6.4%   
  1.40e-9         2.67641e-11     1.70214e-12      #dY:6.4%   
  1.60e-9         2.86121e-11     1.81967e-12      #dY:6.4%   
  1.80e-9         3.03477e-11     1.93005e-12      #dY:6.4%   
  2.20e-9         3.35506e-11     2.13375e-12      #dY:6.4%   
  2.50e-9         3.57651e-11     2.27458e-12      #dY:6.4%   
  2.90e-9         3.85202e-11     2.4498e-12       #dY:6.4%   
  3.40e-9         4.17089e-11     2.62999e-12      #dY:6.3%   
  4.00e-9         4.52396e-11     2.85262e-12      #dY:6.3%   
  4.60e-9         4.85141e-11     3.05909e-12      #dY:6.3%   
  5.40e-9         5.25637e-11     3.31444e-12      #dY:6.3%   
  6.30e-9         5.67753e-11     3.58001e-12      #dY:6.3%   
  7.40e-9         6.15325e-11     3.87998e-12      #dY:6.3%   
  8.60e-9         6.63343e-11     4.18276e-12      #dY:6.3%   
  1.00e-8         7.15301e-11     4.54915e-12      #dY:6.4%   
  1.20e-8         7.83573e-11     4.98335e-12      #dY:6.4%   
  1.40e-8         8.46355e-11     5.38263e-12      #dY:6.4%   
  1.60e-8         9.04792e-11     5.75427e-12      #dY:6.4%   
  1.80e-8         9.59676e-11     6.10332e-12      #dY:6.4%   
  2.20e-8         1.06096e-10     6.74747e-12      #dY:6.4%   
  2.50e-8         1.13099e-10     7.19284e-12      #dY:6.4%   
  2.90e-8         1.21811e-10     7.74691e-12      #dY:6.4%   
  3.40e-8         1.31895e-10     8.31686e-12      #dY:6.3%   
  4.00e-8         1.4306e-10      9.02089e-12      #dY:6.3%   
  4.60e-8         1.53415e-10     9.67384e-12      #dY:6.3%   
  5.40e-8         1.66221e-10     1.04813e-11      #dY:6.3%   
  6.30e-8         1.79539e-10     1.13211e-11      #dY:6.3%   
  7.40e-8         1.94582e-10     1.22697e-11      #dY:6.3%   
  8.60e-8         2.09767e-10     1.32272e-11      #dY:6.3%   
  1.00e-7         2.26197e-10     1.42632e-11      #dY:6.3%   
  1.20e-7         2.47787e-10     1.57588e-11      #dY:6.4%   
  1.40e-7         2.6764e-10      1.70214e-11      #dY:6.4%   
  1.60e-7         2.86119e-10     1.81966e-11      #dY:6.4%   
  1.80e-7         3.03475e-10     1.93004e-11      #dY:6.4%   
  2.20e-7         3.35504e-10     2.13374e-11      #dY:6.4%   
  2.50e-7         3.57649e-10     2.27458e-11      #dY:6.4%   
  2.90e-7         3.85199e-10     2.44979e-11      #dY:6.4%   
  3.40e-7         4.17086e-10     2.62998e-11      #dY:6.3%   
  4.00e-7         4.52393e-10     2.85262e-11      #dY:6.3%   
  4.60e-7         4.85137e-10     3.05909e-11      #dY:6.3%   
  5.40e-7         5.25632e-10     3.31443e-11      #dY:6.3%   
  6.30e-7         5.67747e-10     3.57999e-11      #dY:6.3%   
  7.40e-7         6.15319e-10     3.87997e-11      #dY:6.3%   
  8.60e-7         6.63336e-10     4.18274e-11      #dY:6.3%   
  1.00e-6         7.15293e-10     4.51036e-11      #dY:6.3%   
  1.20e-6         7.83563e-10     4.98333e-11      #dY:6.4%   
  1.40e-6         8.46344e-10     5.38261e-11      #dY:6.4%   
  1.60e-6         9.04778e-10     5.75424e-11      #dY:6.4%   
  1.80e-6         9.59661e-10     6.10329e-11      #dY:6.4%   
  2.20e-6         1.06094e-9      6.7474e-11       #dY:6.4%   
  2.50e-6         1.13097e-9      7.19278e-11      #dY:6.4%   
  2.90e-6         1.21809e-9      7.74685e-11      #dY:6.4%   
  3.40e-6         1.31892e-9      8.31671e-11      #dY:6.3%   
  4.00e-6         1.43057e-9      9.02074e-11      #dY:6.3%   
  4.60e-6         1.53411e-9      9.67363e-11      #dY:6.3%   
  5.40e-6         1.66216e-9      1.04811e-10      #dY:6.3%   
  6.30e-6         1.79533e-9      1.13208e-10      #dY:6.3%   
  7.40e-6         1.94576e-9      1.22694e-10      #dY:6.3%   
  8.60e-6         2.09759e-9      1.32268e-10      #dY:6.3%   
  1.00e-5         2.26189e-9      1.42628e-10      #dY:6.3%   
  1.20e-5         2.47776e-9      1.57586e-10      #dY:6.4%   
  1.40e-5         2.67628e-9      1.70212e-10      #dY:6.4%   
  1.60e-5         2.86105e-9      1.81963e-10      #dY:6.4%   
  1.80e-5         3.03459e-9      1.93e-10         #dY:6.4%   
  2.20e-5         3.35484e-9      2.13368e-10      #dY:6.4%   
  2.50e-5         3.57626e-9      2.2745e-10       #dY:6.4%   
  2.90e-5         3.85172e-9      2.4497e-10       #dY:6.4%   
  3.40e-5         4.17054e-9      2.62982e-10      #dY:6.3%   
  4.00e-5         4.52355e-9      2.85242e-10      #dY:6.3%   
  4.60e-5         4.85093e-9      3.05885e-10      #dY:6.3%   
  5.40e-5         5.25579e-9      3.31415e-10      #dY:6.3%   
  6.30e-5         5.67685e-9      3.57965e-10      #dY:6.3%   
  7.40e-5         6.15244e-9      3.87955e-10      #dY:6.3%   
  8.60e-5         6.63247e-9      4.18224e-10      #dY:6.3%   
  1.00e-4         7.15187e-9      4.50976e-10      #dY:6.3%   
  1.20e-4         7.83433e-9      4.98272e-10      #dY:6.4%   
  1.40e-4         8.46188e-9      5.38184e-10      #dY:6.4%   
  1.60e-4         9.04597e-9      5.75333e-10      #dY:6.4%   
  1.80e-4         9.59453e-9      6.10222e-10      #dY:6.4%   
  2.20e-4         1.06068e-8      6.74604e-10      #dY:6.4%   
  2.50e-4         1.13066e-8      7.19112e-10      #dY:6.4%   
  2.90e-4         1.21772e-8      7.74483e-10      #dY:6.4%   
  3.40e-4         1.31848e-8      8.31482e-10      #dY:6.3%   
  4.00e-4         1.43002e-8      9.01823e-10      #dY:6.3%   
  4.60e-4         1.53346e-8      9.67056e-10      #dY:6.3%   
  5.40e-4         1.66137e-8      1.04772e-9       #dY:6.3%   
  6.30e-4         1.79438e-8      1.1316e-9        #dY:6.3%   
  7.40e-4         1.94459e-8      1.22633e-9       #dY:6.3%   
  8.60e-4         2.09618e-8      1.32193e-9       #dY:6.3%   
  1.00e-3         2.26017e-8      1.42535e-9       #dY:6.3%   
  1.20e-3         2.47558e-8      1.57312e-9       #dY:6.4%   
  1.40e-3         2.67361e-8      1.69896e-9       #dY:6.4%   
