#ZVView-data-copy::  17-Sep-2026 22:50:09
#=======================================
#
#name:   ENDF/B-VIII.1: U-233(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  1003
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  1.00e-11        2.1123e-12      1.89812e-13      #dY:9.0%   
  1.029146e-11    2.0865e-12      1.87493e-13      #dY:9.0%   
  1.059141e-11    2.1167e-12      1.90207e-13      #dY:9.0%   
  1.090012e-11    2.1474e-12      1.92966e-13      #dY:9.0%   
  1.121782e-11    2.1785e-12      1.9576e-13       #dY:9.0%   
  1.154478e-11    2.2101e-12      1.986e-13        #dY:9.0%   
  1.188127e-11    2.2421e-12      2.01475e-13      #dY:9.0%   
  1.222755e-11    2.2746e-12      2.04396e-13      #dY:9.0%   
  1.258394e-11    2.3075e-12      2.07352e-13      #dY:9.0%   
  1.295072e-11    2.341e-12       2.10363e-13      #dY:9.0%   
  1.332819e-11    2.3749e-12      2.13409e-13      #dY:9.0%   
  1.371665e-11    2.4093e-12      2.165e-13        #dY:9.0%   
  1.411645e-11    2.4442e-12      2.19636e-13      #dY:9.0%   
  1.452789e-11    2.4796e-12      2.22817e-13      #dY:9.0%   
  1.495132e-11    2.5156e-12      2.26052e-13      #dY:9.0%   
  1.53871e-11     2.552e-12       2.29323e-13      #dY:9.0%   
  1.583557e-11    2.589e-12       2.32648e-13      #dY:9.0%   
  1.629713e-11    2.6265e-12      2.36018e-13      #dY:9.0%   
  1.677213e-11    2.6646e-12      2.39441e-13      #dY:9.0%   
  1.726097e-11    2.7032e-12      2.4291e-13       #dY:9.0%   
  1.776407e-11    2.7423e-12      2.46424e-13      #dY:9.0%   
  1.828182e-11    2.7821e-12      2.50e-13         #dY:9.0%   
  1.881466e-11    2.8224e-12      2.53621e-13      #dY:9.0%   
  1.936304e-11    2.8633e-12      2.57297e-13      #dY:9.0%   
  1.992741e-11    2.9048e-12      2.61026e-13      #dY:9.0%   
  2.050821e-11    2.9469e-12      2.64809e-13      #dY:9.0%   
  2.110595e-11    2.9896e-12      2.68646e-13      #dY:9.0%   
  2.172112e-11    3.0329e-12      2.72537e-13      #dY:9.0%   
  2.235421e-11    3.0768e-12      2.76482e-13      #dY:9.0%   
  2.300575e-11    3.1214e-12      2.8049e-13       #dY:9.0%   
  2.367628e-11    3.1666e-12      2.84551e-13      #dY:9.0%   
  2.436637e-11    3.2125e-12      2.88676e-13      #dY:9.0%   
  2.507656e-11    3.2591e-12      2.92863e-13      #dY:9.0%   
  2.580743e-11    3.3063e-12      2.97105e-13      #dY:9.0%   
  2.655964e-11    3.3542e-12      3.01409e-13      #dY:9.0%   
  2.733375e-11    3.4028e-12      3.05776e-13      #dY:9.0%   
  2.813042e-11    3.4521e-12      3.10206e-13      #dY:9.0%   
  2.895032e-11    3.5021e-12      3.14699e-13      #dY:9.0%   
  2.979412e-11    3.5529e-12      3.19264e-13      #dY:9.0%   
  3.066251e-11    3.6044e-12      3.23892e-13      #dY:9.0%   
  3.155621e-11    3.6566e-12      3.28583e-13      #dY:9.0%   
  3.247596e-11    3.7096e-12      3.33345e-13      #dY:9.0%   
  3.342252e-11    3.7633e-12      3.38171e-13      #dY:9.0%   
  3.439665e-11    3.8179e-12      3.43077e-13      #dY:9.0%   
  3.539918e-11    3.8732e-12      3.48046e-13      #dY:9.0%   
  3.643094e-11    3.9293e-12      3.53088e-13      #dY:9.0%   
  3.749276e-11    3.9862e-12      3.58201e-13      #dY:9.0%   
  3.858554e-11    4.044e-12       3.63395e-13      #dY:9.0%   
  3.971017e-11    4.1026e-12      3.6866e-13       #dY:9.0%   
  4.086758e-11    4.162e-12       3.73998e-13      #dY:9.0%   
  4.205872e-11    4.2223e-12      3.79417e-13      #dY:9.0%   
  4.328458e-11    4.2835e-12      3.84916e-13      #dY:9.0%   
  4.454615e-11    4.3456e-12      3.90496e-13      #dY:9.0%   
  4.584452e-11    4.4086e-12      3.96158e-13      #dY:9.0%   
  4.718072e-11    4.4725e-12      4.019e-13        #dY:9.0%   
  4.855585e-11    4.5373e-12      4.07723e-13      #dY:9.0%   
  4.997109e-11    4.603e-12       4.13626e-13      #dY:9.0%   
  5.142755e-11    4.6697e-12      4.1962e-13       #dY:9.0%   
  5.292647e-11    4.7374e-12      4.25704e-13      #dY:9.0%   
  5.446908e-11    4.806e-12       4.31868e-13      #dY:9.0%   
  5.605666e-11    4.8756e-12      4.38122e-13      #dY:9.0%   
  5.769051e-11    4.9463e-12      4.44475e-13      #dY:9.0%   
  5.9372e-11      5.018e-12       4.50918e-13      #dY:9.0%   
  6.110245e-11    5.0907e-12      4.57451e-13      #dY:9.0%   
  6.288335e-11    5.1645e-12      4.64083e-13      #dY:9.0%   
  6.471617e-11    5.2393e-12      4.70804e-13      #dY:9.0%   
  6.660242e-11    5.3152e-12      4.77625e-13      #dY:9.0%   
  6.854362e-11    5.3922e-12      4.84544e-13      #dY:9.0%   
  7.054142e-11    5.4703e-12      4.91562e-13      #dY:9.0%   
  7.259746e-11    5.5496e-12      4.98688e-13      #dY:9.0%   
  7.47134e-11     5.63e-12        5.05913e-13      #dY:9.0%   
  7.689101e-11    5.7116e-12      5.13245e-13      #dY:9.0%   
  7.913209e-11    5.7944e-12      5.20686e-13      #dY:9.0%   
  8.143851e-11    5.8783e-12      5.28225e-13      #dY:9.0%   
  8.381214e-11    5.9635e-12      5.35881e-13      #dY:9.0%   
  8.625496e-11    6.0499e-12      5.43645e-13      #dY:9.0%   
  8.876898e-11    6.1376e-12      5.51526e-13      #dY:9.0%   
  9.135627e-11    6.2265e-12      5.59514e-13      #dY:9.0%   
  9.401895e-11    6.3168e-12      5.67629e-13      #dY:9.0%   
  9.675927e-11    6.4083e-12      5.75851e-13      #dY:9.0%   
  9.957943e-11    6.5011e-12      5.8419e-13       #dY:9.0%   
  1.024817e-10    6.5953e-12      5.92655e-13      #dY:9.0%   
  1.054687e-10    6.6909e-12      6.01245e-13      #dY:9.0%   
  1.085428e-10    6.7879e-12      6.09962e-13      #dY:9.0%   
  1.117064e-10    6.8862e-12      6.18795e-13      #dY:9.0%   
  1.149622e-10    6.986e-12       6.27763e-13      #dY:9.0%   
  1.18313e-10     7.0872e-12      6.36857e-13      #dY:9.0%   
  1.217613e-10    7.1899e-12      6.46086e-13      #dY:9.0%   
  1.253102e-10    7.2941e-12      6.55449e-13      #dY:9.0%   
  1.289625e-10    7.3998e-12      6.64947e-13      #dY:9.0%   
  1.327213e-10    7.507e-12       6.7458e-13       #dY:9.0%   
  1.365897e-10    7.6158e-12      6.84357e-13      #dY:9.0%   
  1.405708e-10    7.7261e-12      6.94269e-13      #dY:9.0%   
  1.446678e-10    7.8381e-12      7.04333e-13      #dY:9.0%   
  1.488845e-10    7.9517e-12      7.14541e-13      #dY:9.0%   
  1.532238e-10    8.0669e-12      7.24893e-13      #dY:9.0%   
  1.576898e-10    8.1838e-12      7.35398e-13      #dY:9.0%   
