#ZVView-data-copy::  16-Sep-2026 16:47:48
#=======================================
#
#name:   ENDF/B-VIII.1: U-235(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  394
#data...
# X               Y               +-dY           
# eV              1/eV            1/eV           
  0.00            0.00            0.00                        
  1.00e-5         2.14993e-12     4.9123e-13       #dY:22.8%  
  1.50e-5         2.63313e-12     6.01635e-13      #dY:22.8%  
  2.00e-5         3.0405e-12      6.94713e-13      #dY:22.8%  
  3.50e-5         4.02223e-12     9.19025e-13      #dY:22.8%  
  5.00e-5         4.80754e-12     1.09846e-12      #dY:22.8%  
  7.50e-5         5.888e-12       1.34533e-12      #dY:22.8%  
  1.00e-4         6.79887e-12     1.55345e-12      #dY:22.8%  
  1.50e-4         8.32689e-12     1.90258e-12      #dY:22.8%  
  2.00e-4         9.61508e-12     2.19692e-12      #dY:22.8%  
  3.50e-4         1.27195e-11     2.90623e-12      #dY:22.8%  
  5.00e-4         1.52025e-11     3.47357e-12      #dY:22.8%  
  7.50e-4         1.86191e-11     4.25421e-12      #dY:22.8%  
  1.00e-3         2.14993e-11     4.9123e-12       #dY:22.8%  
  1.50e-3         2.63313e-11     6.01635e-12      #dY:22.8%  
  2.00e-3         3.0405e-11      6.94713e-12      #dY:22.8%  
  3.50e-3         4.02223e-11     9.19025e-12      #dY:22.8%  
  5.00e-3         4.80754e-11     1.09846e-11      #dY:22.8%  
  7.50e-3         5.888e-11       1.34533e-11      #dY:22.8%  
  0.01            6.79887e-11     1.55345e-11      #dY:22.8%  
  0.015           8.32689e-11     1.90258e-11      #dY:22.8%  
  0.02            9.61508e-11     2.19692e-11      #dY:22.8%  
  0.035           1.27195e-10     2.90623e-11      #dY:22.8%  
  0.05            1.52025e-10     3.47357e-11      #dY:22.8%  
  0.075           1.86191e-10     4.25421e-11      #dY:22.8%  
  0.1             2.14993e-10     4.9123e-11       #dY:22.8%  
  0.15            2.63313e-10     6.01635e-11      #dY:22.8%  
  0.2             3.0405e-10      6.94713e-11      #dY:22.8%  
  0.35            4.02223e-10     9.19025e-11      #dY:22.8%  
  0.5             4.80754e-10     1.09846e-10      #dY:22.8%  
  0.75            5.888e-10       1.34533e-10      #dY:22.8%  
  1               6.79887e-10     1.55345e-10      #dY:22.8%  
  1.5             8.32689e-10     1.90258e-10      #dY:22.8%  
  2               9.61508e-10     2.19692e-10      #dY:22.8%  
  3.5             1.271956e-9     2.90625e-10      #dY:22.8%  
  5               1.520278e-9     3.47363e-10      #dY:22.8%  
  7.5             1.861948e-9     4.2543e-10       #dY:22.8%  
  10              2.149987e-9     4.91243e-10      #dY:22.8%  
  15              2.633176e-9     6.0166e-10       #dY:22.8%  
  20              3.040517e-9     6.94734e-10      #dY:22.8%  
  35              4.022183e-9     9.19037e-10      #dY:22.8%  
  50              4.807377e-9     1.09845e-9       #dY:22.8%  
  75              5.887699e-9     8.64905e-10      #dY:14.7%  
  100             6.7984e-9       9.98685e-10      #dY:14.7%  
  150             8.325987e-9     1.22309e-9       #dY:14.7%  
  200             9.613654e-9     1.41225e-9       #dY:14.7%  
  350             1.271623e-8     1.86802e-9       #dY:14.7%  
  500             1.519709e-8     2.23245e-9       #dY:14.7%  
  750             1.860902e-8     2.73367e-9       #dY:14.7%  
  1000            2.148377e-8     3.15598e-9       #dY:14.7%  
