Entry,DatasetID,idat,ERR-T
20572,20572003,0,-0.02141
20572,20572003,1,-0.00968
20572,20572003,3,-0.01272
20572,20572003,4,-0.00752
20572,20572003,5,-0.00732
20572,20572003,6,-0.01087
20572,20572003,9,-0.00513
20572,20572003,13,-0.0056
20572,20572003,22,-0.00445
20572,20572003,23,-0.00314
20572,20572003,33,-0.00289
20572,20572003,36,-0.00165
20572,20572003,119,-0.00144
20572,20572003,120,-0.00181
20572,20572003,121,-0.00169
20572,20572003,122,-0.00201
20572,20572003,124,-0.00088
20572,20572003,125,-0.00075
20572,20572003,148,-6e-05
20572,20572003,153,-0.00095
20572,20572003,157,-0.00139
20572,20572003,158,-0.00046
20572,20572003,159,-0.0001
20572,20572003,160,-0.00419
20572,20572003,178,-0.00286
20572,20572003,179,-0.0019
20572,20572003,180,-0.00707
20572,20572003,189,-0.00144
20572,20572003,190,-0.00263
20572,20572003,193,-0.01046
20572,20572003,199,-0.00454
20572,20572003,200,-0.02264
20572,20572005,2,-0.01195
20572,20572005,138,-0.002
20572,20572005,140,-0.00114
20572,20572005,141,-0.00104
20572,20572007,0,-0.00904
20572,20572007,3,-0.01144
20572,20572007,4,-0.00977
20572,20572007,6,-0.00878
20572,20572007,26,-0.00453
20572,20572007,36,-0.0036
20572,20572007,39,-0.00273
20572,20572007,51,-0.00163
20572,20572007,53,-0.00196
20572,20572007,56,-0.00459
20572,20572007,57,-0.00334
20572,20572007,110,-0.00109
20572,20572007,111,-0.00101
20572,20572007,112,-0.00192
20572,20572007,113,-0.00076
20572,20572007,114,-0.00137
20572,20572007,115,-0.00043
20572,20572007,123,-0.0017
20572,20572007,124,-0.00116
20572,20572007,125,-0.00179
20572,20572007,127,-0.00089
20572,20572007,138,-0.00076
20572,20572007,146,-0.00086
20572,20572007,147,-0.00054
20572,20572007,200,-0.00243
20572,20572007,213,-0.00106
20572,20572007,215,-0.0006
20572,20572007,218,-0.00101
20572,20572007,220,-0.00103
20572,20572007,240,-0.00162
20572,20572007,242,-0.0025
20572,20572007,244,-0.00319
20572,20572007,245,-0.00077
20572,20572007,247,-0.002
20572,20572007,251,-0.00139
20572,20572007,253,-0.00063
20572,20572007,254,-0.00115
20572,20572007,256,-0.00025
20572,20572007,257,-0.00145
20572,20572007,258,-0.00061
20572,20572007,259,-0.00047
20572,20572007,315,-0.00294
20572,20572007,320,-0.00146
20572,20572007,322,-0.00071
20572,20572007,346,-0.00289
20572,20572007,354,-0.00194
20572,20572007,369,-0.01818
20572,20572009,107,-0.00037
20572,20572009,123,-0.00038
20572,20572009,125,-0.0003
23173,23173002,0,0
23173,23173002,2,0
23173,23173002,4,0
23173,23173002,6,0
23173,23173002,9,0
23173,23173002,12,0
23173,23173002,15,0
23173,23173002,17,0
23173,23173002,19,0
23173,23173002,21,0
23173,23173002,23,0
23173,23173002,28,0
23173,23173002,30,0
23173,23173002,32,0
23173,23173002,34,0
23173,23173002,36,0
23173,23173002,38,0
23173,23173002,41,0
23173,23173002,45,0
23173,23173002,48,0
23173,23173002,50,0
23173,23173002,52,0
23173,23173002,54,0
23173,23173002,56,0
23173,23173002,59,0
23173,23173003,0,0
23173,23173004,0,0
23173,23173005,0,0
23173,23173006,0,0
23173,23173006,2,0
23173,23173006,4,0
23173,23173006,6,0
23173,23173006,8,0
23173,23173006,10,0
23173,23173006,12,0
23173,23173006,134,0
23173,23173006,269,0
23173,23173006,285,0
23173,23173006,343,0
23173,23173006,384,0
23173,23173006,502,0
23173,23173006,629,0
23173,23173006,676,0
23173,23173006,731,0
23173,23173006,748,0
23173,23173006,895,0
23173,23173006,960,0
23173,23173006,980,0
23173,23173006,989,0
23173,23173006,1097,0
23173,23173006,1143,0
23173,23173006,1147,0
23173,23173006,1170,0
23173,23173007,0,0
23173,23173007,2,0
23173,23173007,4,0
23173,23173007,6,0
23173,23173007,8,0
23173,23173007,10,0
23173,23173007,12,0
23173,23173007,59,0
23173,23173007,124,0
23173,23173007,134,0
23173,23173007,586,0
23173,23173007,607,0
23173,23173007,679,0
23173,23173007,882,0
23173,23173007,961,0
23173,23173007,965,0
23173,23173007,1054,0
23173,23173007,1110,0
23173,23173007,1123,0
23173,23173007,1175,0
23173,23173007,1205,0
23173,23173007,1211,0
23173,23173007,1233,0
23173,23173007,1244,0
23173,23173007,1276,0
23173,23173007,1299,0
23173,23173008,0,0
23173,23173008,2,0
23173,23173008,4,0
23173,23173008,6,0
23173,23173008,8,0
23173,23173008,10,0
23173,23173008,69,0
23173,23173009,0,0
23173,23173009,8,0
23173,23173010,0,0
23173,23173011,0,0
23173,23173012,0,0
30532,30532039,23,0
