┌──────────┬──────┬────────────┬────────────────────────────┬─────┬──────┬───────┬────┬─────┬─────┐
│ Dataset  │ year │  Author1   │          REACTION          │ EN  │ DATA │ ERR-T │ MF │ MT  │ Pt. │
├──────────┼──────┼────────────┼────────────────────────────┼─────┼──────┼───────┼────┼─────┼─────┤
│ 22703002 │ 1992 │ Y. Uwamino │ 13-AL-27(N,A)11-NA-24,,SIG │ MEV │ B    │ B     │ 3  │ 107 │ 36  │
└──────────┴──────┴────────────┴────────────────────────────┴─────┴──────┴───────┴────┴─────┴─────┘
┌────┬──────┬───────────┬─────────┬──────────────────────────────────────────┐
│ n  │  E   │    SIG    │  dSIG   │                  SIG(E)                  │
├────┼──────┼───────────┼─────────┼──────────────────────────────────────────┤
│ 3  │ 5.5  │ 0.0006735 │ 8.6e-05 │ #                                        │
│ 4  │ 6.5  │ 0.01293   │ 0.0017  │ ####                                     │
│ 5  │ 7.5  │ 0.03269   │ 0.0042  │ ###########                              │
│ 6  │ 8.5  │ 0.0606    │ 0.0072  │ ####################                     │
│ 7  │ 9.5  │ 0.08368   │ 0.0089  │ ############################             │
│ 8  │ 10.5 │ 0.09789   │ 0.0096  │ #################################        │
│ 9  │ 11.5 │ 0.1089    │ 0.0095  │ #####################################    │
│ 10 │ 12.5 │ 0.1192    │ 0.0093  │ ######################################## │
│ 11 │ 13.5 │ 0.1166    │ 0.0087  │ #######################################  │
│ 12 │ 14.5 │ 0.1066    │ 0.0076  │ ####################################     │
│ 13 │ 15.5 │ 0.09402   │ 0.0074  │ ################################         │
│ 14 │ 16.5 │ 0.07627   │ 0.0068  │ ##########################               │
│ 15 │ 17.5 │ 0.06219   │ 0.006   │ #####################                    │
│ 16 │ 18.5 │ 0.04926   │ 0.0051  │ #################                        │
│ 17 │ 19.5 │ 0.03626   │ 0.0042  │ ############                             │
│ 18 │ 20.5 │ 0.02808   │ 0.0036  │ #########                                │
│ 19 │ 21.5 │ 0.02462   │ 0.003   │ ########                                 │
│ 20 │ 22.5 │ 0.02488   │ 0.0026  │ ########                                 │
│ 21 │ 23.5 │ 0.02461   │ 0.0022  │ ########                                 │
│ 22 │ 24.5 │ 0.02145   │ 0.0018  │ #######                                  │
│ 23 │ 25.5 │ 0.01773   │ 0.0015  │ ######                                   │
│ 24 │ 26.5 │ 0.01455   │ 0.0012  │ #####                                    │
│ 25 │ 27.5 │ 0.009771  │ 0.001   │ ###                                      │
│ 26 │ 28.5 │ 0.005502  │ 0.00081 │ ##                                       │
│ 27 │ 29.5 │ 0.003916  │ 0.00063 │ #                                        │
└────┴──────┴───────────┴─────────┴──────────────────────────────────────────┘
