Script:run-all.sh 2026-08-25,23:12:02 start
  0) part6-1-eval2sig/runme.sh                    2026-08-25,23:12:02 :: 2026-08-25,23:12:04  t:2s
  1) part6-1-eval2sig/runme.sh                    2026-08-25,23:12:04 :: 2026-08-25,23:12:11  t:7s
  2) part6-1-eval2sig/runme.sh                    2026-08-25,23:12:11 :: 2026-08-25,23:12:14  t:3s
  3) part6-1-eval2sig/runme.sh                    2026-08-25,23:12:14 :: 2026-08-25,23:12:18  t:4s
  4) part6-1-eval2sig/runme.sh                    2026-08-25,23:12:18 :: 2026-08-25,23:12:21  t:3s
  5) part6-1-eval2sig/runme.sh                    2026-08-25,23:12:21 :: 2026-08-25,23:12:25  t:4s
  6) part6-1-eval2sig/runme.sh                    2026-08-25,23:12:25 :: 2026-08-25,23:12:33  t:8s
  7) part6-1-eval2sig/runme.sh                    2026-08-25,23:12:33 :: 2026-08-25,23:12:36  t:3s
  8) part6-1-eval2sig/runme.sh                    2026-08-25,23:12:36 :: 2026-08-25,23:12:56  t:20s
  9) part6-1-eval2sig/runme.sh                    2026-08-25,23:12:56 :: 2026-08-25,23:12:59  t:3s
 10) part6-1-eval2sig/runme.sh                    2026-08-25,23:12:59 :: 2026-08-25,23:13:16  t:17s
 11) part6-1-eval2sig/runme.sh                    2026-08-25,23:13:16 :: 2026-08-25,23:13:20  t:4s
 12) part6-1-eval2sig/runme.sh                    2026-08-25,23:13:20 :: 2026-08-25,23:13:30  t:10s
 13) part6-1-eval2sig/runme.sh                    2026-08-25,23:13:30 :: 2026-08-25,23:13:35  t:5s
 14) part6-1-eval2sig/runme.sh                    2026-08-25,23:13:35 :: 2026-08-25,23:13:40  t:5s
 15) part6-1-eval2sig/runme.sh                    2026-08-25,23:13:40 :: 2026-08-25,23:13:43  t:3s
 16) part6-1-eval2sig/runme.sh                    2026-08-25,23:13:43 :: 2026-08-25,23:13:55  t:12s
 17) part6-1-eval2sig/runme.sh                    2026-08-25,23:13:55 :: 2026-08-25,23:13:58  t:3s
 18) part6-1-eval2sig/runme.sh                    2026-08-25,23:13:58 :: 2026-08-25,23:14:19  t:21s
 19) part6-1-eval2sig/runme.sh                    2026-08-25,23:14:19 :: 2026-08-25,23:14:23  t:4s
 20) part6-1-eval2sig/runme.sh                    2026-08-25,23:14:23 :: 2026-08-25,23:14:26  t:3s
 21) part6-1-eval2sig/runme.sh                    2026-08-25,23:14:26 :: 2026-08-25,23:14:30  t:4s
 22) part6-1-eval2sig/runme.sh                    2026-08-25,23:14:30 :: 2026-08-25,23:14:34  t:4s
 23) part6-1-eval2sig/runme.sh                    2026-08-25,23:14:34 :: 2026-08-25,23:14:37  t:3s
 24) part6-1-eval2sig/runme.sh                    2026-08-25,23:14:38 :: 2026-08-25,23:14:42  t:4s
 25) part6-1-eval2sig/runme.sh                    2026-08-25,23:14:42 :: 2026-08-25,23:14:45  t:3s
 26) part6-1-eval2sig/runme.sh                    2026-08-25,23:14:45 :: 2026-08-25,23:14:49  t:4s
 27) part6-1-eval2sig/runme.sh                    2026-08-25,23:14:49 :: 2026-08-25,23:14:53  t:4s
 28) part6-1-eval2sig/runme.sh                    2026-08-25,23:14:53 :: 2026-08-25,23:14:56  t:3s
 29) part6-1-eval2sig/runme.sh                    2026-08-25,23:14:56 :: 2026-08-25,23:15:37  t:41s
Script:run-all.sh 2026-08-25,23:15:37 stop
Elapsed time: 215sec 00:03:35
